#Sequencing_Panel	Illumina_ID	Sample_ID	Sample_ID(Aliases)	SGDP_ID	Population_ID	Region	Country	Town	Contributor	Gender	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
C	LP6005519-DNA_D05	I3	I3	S_Irula-2	Irula	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	M	13.5	80.0	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_E06	HGDP00328	HGDP00328	S_Kalash-1	Kalash	SouthAsia	Pakistan	?	Howard Cann	M	36.0	71.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F06	HGDP00286	HGDP00286	S_Kalash-2	Kalash	SouthAsia	Pakistan	?	Howard Cann	F	36.0	71.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_A04	K1	K1	S_Kapu-1	Kapu	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_B04	K4	K4	S_Kapu-2	Kapu	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_G06	HGDP01012	HGDP01012	S_Karitiana-1	Karitiana	America	Brazil	?	Howard Cann	M	-10.0	-63.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H06	HGDP01018	HGDP01018	S_Karitiana-2	Karitiana	America	Brazil	?	Howard Cann	F	-10.0	-63.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_D03	SA0342	SA0342	S_Khomani_San-1	Khomani_San	Africa	SouthAfrica	"Andriesvale Northern Cape, South Africa"	Brenna Henn	F	-27.0	20.8	Genomic_from_saliva	FullyPublic	X
C	LP6005592-DNA_C05	SA0722	SA0722	S_Khomani_San-2	Khomani_San	Africa	SouthAfrica	"Andriesvale, Northern Cape, South Africa"	Brenna Henn	F	-27.0	20.8	Genomic_from_saliva	FullyPublic	X
C	LP6005442-DNA_D11	HG01600	HG01600	S_Kinh-1	Kinh	EastAsia	Vietnam	Ho Chi Minh City	1KG	F	21.0	105.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_C11	HG01846	HG01846	S_Kinh-2	Kinh	EastAsia	Vietnam	Ho Chi Minh City	1KG	M	21.0	105.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D06	ND19394	ND19394	S_Korean-1	Korean	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	Coriell	M	37.6	127.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C06	NA00726	NA00726	S_Korean-2	Korean	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	Coriell	F	37.6	127.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C09	Kusunda02	K-2	S_Kusunda-1	Kusunda	SouthAsia	Nepal	"Ghorahi, Dang"	Aashish R. Jha / George van Driem / Irene Gallego Romero	M	28.07245287	82.48778	Genomic_from_saliva	FullyPublic	X
C	LP6005443-DNA_D09	Kusunda15	K-15	S_Kusunda-2	Kusunda	SouthAsia	Nepal	"Damauli, Tanahu"	Aashish R. Jha / George van Driem / Irene Gallego Romero	M	28.07245287	84.259486	Genomic_from_saliva	FullyPublic	X
C	LP6005677-DNA_B02	Bishkek28440	Bishkek28440	S_Kyrgyz-1	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Bishkek	Robert Mahley / Ugur Hodoglugil	M	42.9	74.6	Genomic_from_blood	FullyPublic	X
C	LP6005677-DNA_A02	Bishkek28439	Bishkek28439	S_Kyrgyz-2	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Bishkek	Robert Mahley / Ugur Hodoglugil	F	42.9	74.6	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_B07	HGDP01323	HGDP01323	S_Lahu-1	Lahu	EastAsia	China	?	Howard Cann	F	22.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E01	HGDP01320	HGDP01320	S_Lahu-2	Lahu	EastAsia	China	?	Howard Cann	M	22.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H04	lez49	lez49	S_Lezgin-1	Lezgin	WestEurasia	Russia	Dagestanskiye_Ogni_in_Dagestan	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.117	48.183	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_G04	lez42	lez42	S_Lezgin-2	Lezgin	WestEurasia	Russia	Dagestanskiye_Ogni_in_Dagestan	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.117	48.183	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_F11	NA19023	NA19023	S_Luhya-1	Luhya	Africa	Kenya	Webuye	Coriell	F	1.3	36.8	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_E11	NA19044	NA19044	S_Luhya-2	Luhya	Africa	Kenya	Webuye	Coriell	M	1.3	36.8	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_G01	Ayodo_430C	Ayodo_430C	S_Luo-1	Luo	Africa	Kenya	BondoDistrict	Geoge Ayodo	M	-0.1	34.3	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_F09	Ayodo_502C	Ayodo_502C	S_Luo-2	Luo	Africa	Kenya	BondoDistrict	Geoge Ayodo	F	-0.1	34.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_G04	M4	M4	S_Madiga-1	Madiga	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_H04	M13	M13	S_Madiga-2	Madiga	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_C07	HGDP00160	HGDP00160	S_Makrani-1	Makrani	SouthAsia	Pakistan	?	Howard Cann	M	26.0	64.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D07	HGDP00157	HGDP00157	S_Makrani-2	Makrani	SouthAsia	Pakistan	?	Howard Cann	F	26.0	64.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_E04	ML2	ML2	S_Mala-2	Mala	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_F04	ML3	ML3	S_Mala-3	Mala	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_E07	HGDP01199	HGDP01199	S_Mandenka-1	Mandenka	Africa	Senegal	?	Howard Cann	M	12.0	-12.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F07	HGDP00915	HGDP00915	S_Mandenka-2	Mandenka	Africa	Senegal	?	Howard Cann	F	12.0	-12.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F04	Mansi79	Mansi79	S_Mansi-1	Mansi	CentralAsiaSiberia	Russia	"Sos'va river, Western Siberia"	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	M	63.8	61.45	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_G04	Mansi41	Mansi41	S_Mansi-2	Mansi	CentralAsiaSiberia	Russia	"Shugur, Western Siberia"	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	63.65	62.1	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_G07	HGDP00855	HGDP00855	S_Mayan-1	Mayan	America	Mexico	?	Howard Cann	F	19.0	-91.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H07	HGDP00857	HGDP00857	S_Mayan-2	Mayan	America	Mexico	?	Howard Cann	F	19.0	-91.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_G11	HG03078	HG03078	S_Mende-1	Mende	Africa	SierraLeone	?	1KG	M	8.5	-13.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H11	HG03085	HG03085	S_Mende-2	Mende	Africa	SierraLeone	?	1KG	F	8.5	-13.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C08	HGDP01191	HGDP01191	S_Miao-1	Miao	EastAsia	China	?	Howard Cann	M	28.0	109.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D08	HGDP01198	HGDP01198	S_Miao-2	Miao	EastAsia	China	?	Howard Cann	F	28.0	109.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E11	mixe0002	mixe0002	S_Mixe-2	Mixe	America	Mexico	"Tmazulapan, Mixe"	William Klitz / Cheryl Winkler	F	16.95	-96.58	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F11	mixe0042	mixe0042	S_Mixe-3	Mixe	America	Mexico	"Tamazulapan, Mixe"	William Klitz / Cheryl Winkler	F	16.95	-96.58	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_G11	mixa0099	mixa0099	S_Mixtec-1	Mixtec	America	Mexico	San Andres Nuxino	William Klitz / Cheryl Winkler	M	17.0	-97.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_H11	mixa0105	mixa0105	S_Mixtec-2	Mixtec	America	Mexico	?	William Klitz / Cheryl Winkler	F	17.0	-97.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_E08	HGDP01228	HGDP01228	S_Mongola-1	Mongola	CentralAsiaSiberia	China	?	Howard Cann	M	45.0	111.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F08	HGDP01223	HGDP01223	S_Mongola-2	Mongola	CentralAsiaSiberia	China	?	Howard Cann	F	45.0	111.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E10	NorthOssetia12	NorthOssetia12	S_North_Ossetian-1	North_Ossetian	WestEurasia	Russia	"Vladikavkaz in Republic of North Ossetia–Alania"	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.017	44.650	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_F10	NorthOssetia5	NorthOssetia5	S_North_Ossetian-2	North_Ossetian	WestEurasia	Russia	"Vladikavkaz in Republic of North Ossetia–Alania"	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.017	44.650	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_C09	HGDP00798	HGDP00798	S_Orcadian-1	Orcadian	WestEurasia	OrkneyIslands	?	Howard Cann	M	59.0	-3.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D09	HGDP00796	HGDP00796	S_Orcadian-2	Orcadian	WestEurasia	OrkneyIslands	?	Howard Cann	F	59.0	-3.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_E09	HGDP01203	HGDP01203	S_Oroqen-1	Oroqen	EastAsia	China	?	Howard Cann	M	50.4	126.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F09	HGDP01211	HGDP01211	S_Oroqen-2	Oroqen	EastAsia	China	?	Howard Cann	F	50.4	126.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C10	HGDP00216	HGDP00216	S_Pathan-1	Pathan	SouthAsia	Pakistan	?	Howard Cann	M	33.5	70.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D10	HGDP00232	HGDP00232	S_Pathan-2	Pathan	SouthAsia	Pakistan	?	Howard Cann	F	33.5	70.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A04	HGDP00702	HGDP00702	S_Piapoco-1	Piapoco	America	Colombia	?	Howard Cann	F	3.0	-68.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B04	HGDP00706	HGDP00706	S_Piapoco-2	Piapoco	America	Colombia	?	Howard Cann	F	3.0	-68.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_A05	R3	R3	S_Relli-1	Relli	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_B05	R6	R6	S_Relli-2	Relli	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005592-DNA_C01	Utsa21	Utsa21	S_Saami-1	Saami	WestEurasia	Finland	Utsjoki	Antti Sajantila	F	69.9	27.0	Genomic_from_saliva	FullyPublic	X
C	LP6005592-DNA_D01	Utsa22	Utsa22	S_Saami-2	Saami	WestEurasia	Finland	Utsjoki	Antti Sajantila	M	69.9	27.0	Genomic_from_saliva	FullyPublic	X
C	LP6005619-DNA_B01	SAH31	SAH31	S_Saharawi-1	Saharawi	Africa	Western Sahara (Morocco)	Close to the Algerian border	David Comas	M	27.3	-8.9	Genomic_from_blood	FullyPublic	X
C	LP6005619-DNA_C01	SAH41	SAH41	S_Saharawi-2	Saharawi	Africa	Western Sahara (Morocco)	Close to the Algerian border	David Comas	M	27.3	-8.9	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_C11	HGDP01079	HGDP01079	S_Sardinian-1	Sardinian	WestEurasia	Italy(Sardinia)	?	Howard Cann	M	40.0	9.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D11	HGDP01078	HGDP01078	S_Sardinian-2	Sardinian	WestEurasia	Italy(Sardinia)	?	Howard Cann	F	40.0	9.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_G01	HGDP01335	HGDP01335	S_She-1	She	EastAsia	China	?	Howard Cann	F	27.0	119.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F01	HGDP01333	HGDP01333	S_She-2	She	EastAsia	China	?	Howard Cann	M	27.0	119.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G11	HGDP00208	HGDP00208	S_Sindhi-1	Sindhi	SouthAsia	Pakistan	?	Howard Cann	M	25.5	69.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H11	HGDP00195	HGDP00195	S_Sindhi-2	Sindhi	SouthAsia	Pakistan	?	Howard Cann	F	25.5	69.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A11	HG01503	HG01503	S_Spanish-1	Spanish	WestEurasia	Spain	Castilla la Mancha	1KG	M	39.9	-4.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B11	HG01504	HG01504	S_Spanish-2	Spanish	WestEurasia	Spain	Castilla la Mancha	1KG	F	39.9	-4.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A12	HGDP00846	HGDP00846	S_Surui-1	Surui	America	Brazil	?	Howard Cann	F	-11.0	-62.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B12	HGDP00852	HGDP00852	S_Surui-2	Surui	America	Brazil	?	Howard Cann	F	-11.0	-62.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_C03	tdj409_shugnan	tdj409_shugnan	S_Tajik-1	Tajik	WestEurasia	Tajikistan	Shughnon District	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	M	37.508	71.568	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_D03	tdj430_shugnan	tdj430_shugnan	S_Tajik-2	Tajik	WestEurasia	Tajikistan	Shughnon District	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	M	37.508	71.568	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_A07	CHI-007	CHI-007	S_Thai-1	Thai	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	ECCAC	M	13.8	100.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_B07	CHI-034	CHI-034	S_Thai-2	Thai	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	ECCAC	F	13.8	100.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E05	Ale32	Ale32	S_Tlingit-1	Tlingit	CentralAsiaSiberia	Russia	"Petropavlovsk-Kamchatski, Commander Islands"	Rem Sukernik / Stanislav Dryomov	M	53	158.65	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_D05	Ale14	Ale14	S_Tlingit-2	Tlingit	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	Rem Sukernik / Stanislav Dryomov	F	55.18	166	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_H01	HGDP01350	HGDP01350	S_Tu-1	Tu	EastAsia	China	?	Howard Cann	M	36.0	101.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D12	HGDP01355	HGDP01355	S_Tu-2	Tu	EastAsia	China	?	Howard Cann	F	36.0	101.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_F12	Tuba19	Tuba19	S_Tubalar-1	Tubalar	CentralAsiaSiberia	Russia	"Artybash and Kebezen, Altai-Sayan Upland"	Rem Sukernik / Stanislav Dryomov	F	51.13333333	87	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_E12	Tuba9	Tuba9	S_Tubalar-2	Tubalar	CentralAsiaSiberia	Russia	"Artybash and Kebezen, Altai-Sayan Upland"	Rem Sukernik / Stanislav Dryomov	F	51.13333333	87	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_A02	HGDP01095	HGDP01095	S_Tujia-1	Tujia	EastAsia	China	?	Howard Cann	M	29.0	109.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F12	HGDP01098	HGDP01098	S_Tujia-2	Tujia	EastAsia	China	?	Howard Cann	F	29.0	109.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_C03	Kayseri23827	Kayseri23827	S_Turkish-1	Turkish	WestEurasia	Turkey	Kayseri	Robert Mahley / Ugur Hodoglugil	M	38.7	35.5	Genomic_from_blood	FullyPublic	X
C	LP6005677-DNA_A03	Kayseri24424	Kayseri24424	S_Turkish-2	Turkish	WestEurasia	Turkey	Kayseri	Robert Mahley / Ugur Hodoglugil	F	38.7	35.5	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_H12	HGDP01168	HGDP01168	S_Tuscan-1	Tuscan	WestEurasia	Italy(Tuscany)	?	Howard Cann	F	43.0	11.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G12	HGDP01163	HGDP01163	S_Tuscan-2	Tuscan	WestEurasia	Italy(Tuscany)	?	Howard Cann	M	43.0	11.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H12	Ul31	Ul31	S_Ulchi-1	Ulchi	CentralAsiaSiberia	Russia	"Nizhniy Gavan, Lower Amur"	Rem Sukernik / Stanislav Dryomov	F	52.43	140.42	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_G12	Ul5	Ul5	S_Ulchi-2	Ulchi	CentralAsiaSiberia	Russia	"Bogorodskoe, Lower Amur"	Rem Sukernik / Stanislav Dryomov	F	52.37	140.45	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_B01	HGDP01306	HGDP01306	S_Uygur-1	Uygur	EastAsia	China	Yili	Howard Cann	F	44.0	81.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_B02	HGDP01297	HGDP01297	S_Uygur-2	Uygur	EastAsia	China	Yili	Howard Cann	M	44.0	81.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_D01	HGDP01250	HGDP01250	S_Xibo-1	Xibo	EastAsia	China	?	Howard Cann	M	43.5	81.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C02	HGDP01246	HGDP01246	S_Xibo-2	Xibo	EastAsia	China	?	Howard Cann	M	43.5	81.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_C04	Y4	Y4	S_Yadava-1	Yadava	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_D04	Y8	Y8	S_Yadava-2	Yadava	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_F01	HGDP00956	HGDP00956	S_Yakut-1	Yakut	CentralAsiaSiberia	Russia	?	Howard Cann	F	63.0	129.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D02	HGDP00951	HGDP00951	S_Yakut-2	Yakut	CentralAsiaSiberia	Russia	?	Howard Cann	M	63.0	129.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_H01	YemeniteJew4695	YemeniteJew4695	S_Yemenite_Jew-1	Yemenite_Jew	WestEurasia	Yemen	Cell_line_repository	Tel-Aviv University	F	15.4	44.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_G01	YemeniteJew5433	YemeniteJew5433	S_Yemenite_Jew-2	Yemenite_Jew	WestEurasia	Yemen	Cell_line_repository	Tel-Aviv University	M	15.4	44.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_G01	HGDP01179	HGDP01179	S_Yi-1	Yi	EastAsia	China	?	Howard Cann	M	28.0	103.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H01	HGDP01188	HGDP01188	S_Yi-2	Yi	EastAsia	China	?	Howard Cann	F	28.0	103.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B02	HGDP00928	HGDP00928	S_Yoruba-1	Yoruba	Africa	Nigeria	?	Howard Cann	F	7.4	3.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A02	HGDP00932	HGDP00932	S_Yoruba-2	Yoruba	Africa	Nigeria	?	Howard Cann	M	7.4	3.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_A12	zapo0098	zapo0098	S_Zapotec-1	Zapotec	America	Mexico	San Juan Guelavia	William Klitz / Cheryl Winkler	M	16.5	-97.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_D01	zapo0099	zapo0099	S_Zapotec-2	Zapotec	America	Mexico	San Juan Guelavia	William Klitz / Cheryl Winkler	M	16.5	-97.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_D03	HGDP01314	HGDP01314	S_Dai-1	Dai	EastAsia	China	?	Howard Cann	F	21.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_B01	HGDP01312	HGDP01312	S_Dai-2	Dai	EastAsia	China	?	Howard Cann	M	21.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D04	HGDP01315	HGDP01315	S_Dai-3	Dai	EastAsia	China	?	Howard Cann	F	21.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_F03	Nlk1	Nlk1	S_Even-1	Even	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	57.53	135.88	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_C04	Nlk18	Nlk18	S_Even-2	Even	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	M	57.53	135.88	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_B04	Nlk3	Nlk3	S_Even-3	Even	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	57.53	135.88	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_D10	HG00174	HG00174	S_Finnish-1	Finnish	WestEurasia	Finland	?	1KG	F	60.2	24.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_C10	HG00190	HG00190	S_Finnish-2	Finnish	WestEurasia	Finland	?	1KG	M	60.2	24.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_A02	HG00360	HG00360	S_Finnish-3	Finnish	WestEurasia	Finland	?	1KG	M	60.2	24.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D06	HGDP00773	HGDP00773	S_Japanese-2	Japanese	EastAsia	Japan	?	Howard Cann	F	37.85	139.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_C02	NA18940	NA18940	S_Japanese-3	Japanese	EastAsia	Japan	Tokyo	Coriell	M	37.85	139.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_G03	Jordan445	Jordan445	S_Jordanian-1	Jordanian	WestEurasia	Jordan	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_E04	Jordan214	Jordan214	S_Jordanian-3	Jordanian	WestEurasia	Jordan	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_B11	HGDP00987	HGDP00987	S_Ju_hoan_North-2	Ju_hoan_North	Africa	Namibia	?	Howard Cann	M	-18.9	21.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A11	HGDP01032	HGDP01032	S_Ju_hoan_North-3	Ju_hoan_North	Africa	Namibia	?	Howard Cann	M	-18.9	21.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_C03	HGDP00474	HGDP00474	S_Mbuti-1	Mbuti	Africa	Congo	?	Howard Cann	M	1.0	29.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B08	HGDP00476	HGDP00476	S_Mbuti-2	Mbuti	Africa	Congo	?	Howard Cann	F	1.0	29.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A08	HGDP00449	HGDP00449	S_Mbuti-3	Mbuti	Africa	Congo	?	Howard Cann	M	1.0	29.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E09	HGDP01338	HGDP01338	S_Naxi-1	Naxi	EastAsia	China	?	Howard Cann	M	26.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B09	HGDP01345	HGDP01345	S_Naxi-3	Naxi	EastAsia	China	?	Howard Cann	F	26.0	100.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_B03	HGDP00722	HGDP00722	S_Palestinian-1	Palestinian	WestEurasia	Israel(Central)	?	Howard Cann	M	32.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G09	HGDP00725	HGDP00725	S_Palestinian-2	Palestinian	WestEurasia	Israel(Central)	?	Howard Cann	M	32.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_F01	NA11201	NA11201	S_Quechua-1	Quechua	America	Peru	Cell_line_repository_sampling_location_unknown	Coriell	F	-13.5	-72.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_E01	NA11200	NA11200	S_Quechua-2	Quechua	America	Peru	Cell_line_repository_sampling_location_unknown	Coriell	M	-13.5	-72.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_G02	Peru60	Peru60	S_Quechua-3	Quechua	America	Peru	?	Chris Tyler-Smith / Andres Ruiz-Linares	F	-13.5	-72.0	Genomic_from_blood	FullyPublic	X
